First Name,Last Name,Company Name,Email,Marketing Contacts,Gender,State
Eva,Corets,"​Fabrikam, Inc.",eva@fabrikam.com,Yes,Female,California
Ofer,Daliot,"​Fabrikam, Inc.",ofer@fabrikam.com,Yes,Male,California
Robert,Lyon,"​Fabrikam, Inc.",robert@fabrikam.com,Yes,Male,California
Tai,Yee,​First Up Consultants,tai@firstupconsultants.com,Yes,Male,New Jersey
Rainer,Witte,​First Up Consultants,rainer@firstupconsultants.com,Yes,Female,New Jersey
Frank,Zhang,​First Up Consultants,frank@firstupconsultants.com,Yes,Male,New Jersey
Amy,Alberts,​Munson's Pickles and Preserves Farm,amy@munsonspicklesandpreservesfarm.com,Yes,Female,Michigan
Derek,Snyder,​Munson's Pickles and Preserves Farm,derek@munsonspicklesandpreservesfarm.com,Yes,Male,Michigan
Max,Stevens,​Munson's Pickles and Preserves Farm,max@munsonspicklesandpreservesfarm.com,Yes,Male,Michigan
Sunil,Uppal,​Munson's Pickles and Preserves Farm,sunil@munsonspicklesandpreservesfarm.com,Yes,Female,Michigan
Martin,Chisholm,​Wingtip Toys,martin@wingtiptoys.com,Yes,Male,Texas
Burke,Fewel,​Wingtip Toys,burke@wingtiptoys.com,Yes,Male,Texas
KC,Lemson,​Wingtip Toys,chris@wingtiptoys.com,Yes,Female,Texas
Bonnie,Kearney,Adatum Corporation,bonnie@adatum.com,Yes,Female,West Virginia
Peter,Connelly,Adatum Corporation,peter@adatum.com,Yes,Male,West Virginia
Vivian,Atlas,Adatum Corporation,vivian@adatum.com,Yes,Female,West Virginia
Carlos,Grilo,Adatum Corporation,carlos@adatum.com,Yes,Male,West Virginia
Holly,Holt,Adatum Corporation,holly@adatum.com,Yes,Female,West Virginia
Adrian,Dumitrascu,Adventure Works,adrian@adventure-works.com,Yes,Male,Colorado
Brian ,Anders,Adventure Works,brian @adventure-works.com,Yes,Male,Colorado
Chris,Brown,Adventure Works,chris@adventure-works.com,Yes,Male,Colorado
Dana,Stubberod,Adventure Works,dana@adventure-works.com,Yes,Female,Colorado
Don,Kerjean,Adventure Works,don@adventure-works.com,Yes,Male,Colorado
Greg,Gutierrez,Adventure Works,greg@adventure-works.com,Yes,Male,Colorado
Irene,Brigandi,Adventure Works,irene@adventure-works.com,Yes,Female,Colorado
Jim,Park,Adventure Works,jim@adventure-works.com,Yes,Male,Colorado
Joe,Groth,Adventure Works,joe@adventure-works.com,Yes,Male,Colorado
Kelly,Chan,Adventure Works,kelly@adventure-works.com,Yes,Female,Colorado
Elly,Nyka,Adventure Works,elly@adventure-works.com,Yes,Female,Colorado
Richard,Carey,Adventure Works Cycles,richard@adventureworkscycles.com,Yes,Male,California
Cecilia,Cornejo,Adventure Works Cycles,cecilia@adventureworkscycles.com,Yes,Female,California
Jamie,Stark,Adventure Works Cycles,jamie@adventureworkscycles.com,Yes,Female,California
Howard,Gonzalez,Adventure Works Cycles,howard@adventureworkscycles.com,Yes,Male,California
Eric,Gruber,Adventure Works Cycles,eric@adventureworkscycles.com,Yes,Male,California
Madeleine,Kelly,Alpine Ski House,madeleine@alpineskihouse.com,Yes,Female,Colorado
Richard,Lum,Alpine Ski House,richard@alpineskihouse.com,Yes,Male,Colorado
Sebastien,Motte,Alpine Ski House,sebastien@alpineskihouse.com,Yes,Male,Colorado
Mu,Han,Alpine Ski House,mu@alpineskihouse.com,Yes,Female,Colorado
Marian,Henc,Alpine Ski House,marian@alpineskihouse.com,Yes,Female,Colorado
Cathan,Cook,Alpine Ski House,cathan@alpineskihouse.com,Yes,Male,Colorado
George,Li,Alpine Ski House,george@alpineskihouse.com,Yes,Male,Colorado
Luca,Argentiero,Alpine Ski House,luca@alpineskihouse.com,Yes,Male,Colorado
Paul,Cannon,Alpine Ski House,paul@alpineskihouse.com,Yes,Male,Colorado
Linda,Mitchell,Alpine Ski House,linda@alpineskihouse.com,Yes,Female,Colorado
Jae,Pak,Bellows College,jaeb.@bellowscollege.com,Yes,Female,Illinois
Michael,Poliszkiewicz,Bellows College,michał@bellowscollege.com,Yes,Female,Illinois
Barak,Regev,Bellows College,barak@bellowscollege.com,Yes,Male,Illinois
Flemming,Pedersen,Bellows College,flemming@bellowscollege.com,Yes,Male,Illinois
Forrest,Chand,Bellows College,forrest@bellowscollege.com,Yes,Male,Illinois
Terrence,Philip,Bellows College,terrence@bellowscollege.com,Yes,Male,Illinois
Luisa,Cazzaniga,Best For You Organics Company,luisa@bestforyouorganicscompany.com,Yes,Female,California
Holly,Dickson,Best For You Organics Company,holly@bestforyouorganicscompany.com,Yes,Female,California
Enrique,Gil,Best For You Organics Company,enrique@bestforyouorganicscompany.com,Yes,Male,California
B.J.,Haberkorn,Best For You Organics Company,b.j.@bestforyouorganicscompany.com,Yes,Female,California
Oleg,Anashkin,City Power & Light ,oleg@citypowerandlight.com,Yes,Male,Arizona
Sean,Bentley,City Power & Light ,sean@citypowerandlight.com,Yes,Male,Arizona
